Name,Location,Neighborhood,Borough
Lost Battalion Hall,Queens Boulevard between 62 Avenue & 62 Road,,Queens
Lou Lodati Playground,Skillman Avenue & 43 Street,,Queens
Louis Armstrong Playground (PS 143),37 Avenue between 112 & 113 streets,,Queens
Louis Pasteur Park,248 Street & 51 Avenue,,Queens
Lozada Playground,"East 135 Street, Willis Avenue, Alexander Avenue",,Bronx
Luna Park Playground,West 12 Street & Surf Avenue,,Brooklyn
Lyons Pool,"Pier 6, Victory Boulevard",,Staten Island
Macombs Dam Park,East 161th Street & Ruppert Place,,Bronx
Magenta Playground,"Olinville Avenue, Rosewood Street",,Bronx
Mahoney Playground,Beechwood & Cleveland avenues,,Staten Island
Mapes Pool,"East 180 Street, Mapes & Prospect avenues",,Bronx
Maple Playground,Kissena Boulevard & Maple Avenue,,Queens
Marble Hill Playground,"Marble Hill Avenue, West 230 Street, West 228 Street",,Bronx
Marconi Park,109 Avenue & 155 Street,,Queens
Marc's & Jason's Playground,Sterling Street & Empire Boulevard,,Brooklyn
Marcus Garvey Park (Pelham Fritz Recreation Center),18 Mount Morris Park West,Harlem,Manhattan
Marcus Garvey Park (Pool),"Madison Avenue, East 120 to East 124 streets",East Harlem,Manhattan
Maria Hernandez Park,"Knickerbocker to Irving avenues, Starr to Suydam Streets",,Brooklyn
Marie Curie Park (JHS 158),"211 & Oceana streets, 46 Avenue",,Queens
Marine Park,Burnett Street between Avenue U and Avenue X/west of East 33rd Street,,Brooklyn
Marine Park Nature Center,East 33rd Street and Avenue U,,Brooklyn
Marion-Hopkinson Playground,Hopkinson Avenue & Marion Street,,Brooklyn
Markham Playground,"Willowbrook Parkway, Forest Avenue & Houston Street",,Staten Island
Martin Luther King Houses,"Lenox Avenue, West 113 to West 114 streets",East Harlem,Manhattan
Martinez Playground,"Scholes Street, Graham Avenue",,Brooklyn
Mathew Muliner Playground,"Delancy Place, Muliner Avenue, Matthews Avenue",,Bronx
Maurice A. Fitzgerald Playground,Atlantic Avenue & 106 Street,,Queens
Maurice Park,"Maurice, Borden, 54 avenues, 63 Street",,Queens
May Matthews Playground,West 45 Street between 9 & 10 avenues,Midtown West,Manhattan
Mazzei Playground,"Mace Avenue, Williamsbridge Road",,Bronx
McCaffrey Playground,"West 43 Street, 8 & 9 avenues",Midtown West,Manhattan
McCarren Park,12th Street/Driggs Avenue/Lorimer Street/Bedford Avenue,,Brooklyn
McDonald Playground,"Mcdonald Avenue, between avenues S & T",,Brooklyn
McDonald Playground,"Forest Avenue, Myrtle Avenue between Broadway & Burgher",,Staten Island
McKinley Park,"Fort Hamilton Parkway, 73 to 78 streets, 7 Avenue",,Brooklyn
McKinley Playground,"Avenue A, East 3-East 4 streets",East Village,Manhattan
McLaughlin Park,"Tillary Street, Jay Street, Cathedral Place, Bridge Street",,Brooklyn
Mellett Playground,Avenue V between East 13 & East 14 streets,,Brooklyn
Metropolitan Pool,Southeast corner of Bedford & Metropolitan avenues,,Brooklyn
Michaelis-Bayswater Park,"Beach Channel Drive, B 32 Street, Dwight Avenue, Norton Avenue",,Queens
Midland Beach & Boardwalk,"Natural Area and Boardwalk from Sands Lane to Vulcan Street, East of Father Capodanno Boulevard",,Staten Island
Midland Field,Midland Avenue & Mason Avenue,,Staten Island
Midland Playground,Lincoln & Mason avenues,,Staten Island
Millbrook Playground,"East 135 Street, Cypress Avenue",,Bronx
Monsignor Mcgolrick Park,"Driggs to Nassau avenues, Russell to Monitor streets",,Brooklyn
Montbellier Park,Springfield Boulevard & 139 Avenue,,Queens
Morningside Park,West 123 Street & Morningside Avenue,Morningside Heights,Manhattan
Morningside Park,"Athletic Fields and Lawns from 114th Street to 110th Street along Manhattan Avenue, East of Upper Path",Morningside Heights,Manhattan
Morningside Playground,West 117 Street & Morningside Avenue,Morningside Heights,Manhattan
Mosholu Playground (PS 8),"Mosholu Pkwy, Bainbridge Avenue, Briggs Avenue",,Bronx
Mott Playground,"Morris Avenue, College Avenue, Mc Clellan Street",,Bronx
Msgnr. Kett,West 204 Street & Nagle Avenue,Inwood,Manhattan
Mt. Prospect Park,"Eastern Parkway, Underhill Avenue",,Brooklyn
Mullaly Park (Skate Building),"East 164 Street, Jerome Avenue, Macombs Dam Bridge, East 162 Street, River Avenue",,Bronx
Murray Playground,"21 Street, 45 Avenue, 11 Street, 45 Road",,Queens
Nautilus Playground,Merrick & Baisley boulevards,,Queens
Nelson Playground,"West 166 Street, Nelson Avenue, Woodycrest Avenue",,Bronx
Newport Playground,Newport Avenue & Osborn Street,,Brooklyn
Noble Playground,"Nobel Avenue, Bronx River Avenue, Bronx River Parkway, Cross Bronx Expressway",,Bronx
Noonan Playground,"Greenpoint & 47 avenues, 43 Street",,Queens
North Rochdale Playground (PS 30),Baisley Boulevard & Bedell Street,,Queens
Nostrand Playground,Nostrand & Foster avenues,,Brooklyn
Ocean Hill Playground,"Bergen Street, Rockaway Avenue, Dean Street",,Brooklyn
Old Town Playground,"Parkinson Avenue, Kramer Street",,Staten Island
Oracle Playground,Adelphi & Myrtle avenues,,Brooklyn
Orchard Beach Pavilion,"Bruckner Boulevard, Eastchester Bay, Hutchinson",,Bronx
Orchard Beach Pavilion,"Bruckner Boulevard, Eastchester Bay, Hutchinson",,Bronx
Orville & Wilbur Playground,West 156 Street & St. Nicholas Avenue,Harlem,Manhattan
Osborn Playground,Linden Boulevard & Osborn Street,,Brooklyn
Owen Dolen Recreation Center,"Westchester Avenue, Lane Avenue, East Tremont Avenue",,Bronx
P.O. Nicholas Demutis Playground,102 Street & Liberty Avenue,,Queens
P.O. Serrano Playground,"Turnbull Avenue, Olmstead Avenue, Lafayette Avenue",,Bronx
Paerdegat Park,"Foster Avenue, East 40-41 streets",,Brooklyn
Painters Playground (PS 174),Alderton Street from Dieterle to Elwell Crescents,,Queens
Park Slope Playground,Berkeley Street & Lincoln Place,,Brooklyn
Parkside Playground,"Arnow Avenue, Adee Avenue, Olinville Avenue",,Bronx
Parkside Playground,"Parkside, Bedford & Rogers avenues",,Brooklyn
Pat Perlato Playground,Falmouth Street & Oriental Avenue,,Brooklyn
Paul W. Kolbert Park/Rachel Haber Cohen Playground,"Avenue L, East 17 to East 18 streets",,Brooklyn
Pelham Bay Park (Bruckner Boulevard and Wilkinson Avenue),"Bruckner Boulevard, Eastchester Bay, Hutchinson",,Bronx
Pelham Bay Park (Bruckner CS),"Bruckner Boulevard, Eastchester Bay, Hutchinson",,Bronx
Pelham Bay Park (Hunter Island Picnic Area),"Bruckner Boulevard, Eastchester Bay, Hutchinson",,Bronx
Pelham Bay Park (Playground for All Children),Bruckner Expressway & Buhre Avenue,,Bronx
Pelham South Park Headquarters,"Bruckner Boulevard, Eastchester Bay, Hutchinson",,Bronx
People's Park Playground,"Brook Avenue, East 141 Street",,Bronx
Peter's Field,183 Place & Henderson Avenue,,Queens
PFC Thomas Norton Memorial Playground,Nostrand Avenue & Marine Parkway,,Brooklyn
Pierrepont Playground,"Furman Street, Pierrepont Place",,Brooklyn
Pink Playground,Stanley Avenue & Eldert Lane,,Brooklyn
Playground 62 (PS 220),Yellowstone Boulevard between 62 Avenue & 62 Road,,Queens
Playground 70,West End Avenue & West 70 Street,Upper West Side,Manhattan
Playground 90/PS 148 Playground,Northern Boulevard & 90 Street,,Queens
Playground Fifty-Two,"Kelly Street, St. John's Avenue, Beck Street",,Bronx
Playground Ninety Six (XCVI),"2 Avenue, East 96 to East 97 streets",Upper East Side,Manhattan
Playground Seventy-Five (PS 154),160 Street & 75 Avenue,,Queens
Police Officer Reinaldo Salgado Playground,Madison Street & Patchen Avenue,,Brooklyn
Poor Richard's Playground,East 109 Street between 2 & 3 avenues,Upper East Side,Manhattan
Potomac Playground,Tompkins Avenue & Halsey Street,,Brooklyn
Pratt Playground,"Willoughby Avenue, Emerson Place",,Brooklyn
Prescott Playground,Hylan Boulevard & Huguenot Avenue,,Staten Island
Prospect Park (East Parade Grounds),Argyle Road/Parade Place./Parkside Avenue/Caton Avenue,,Brooklyn
Prospect Park (Litchfield Villa),Prospect Park West/3rd Street/7th Street,,Brooklyn
Prospect Park (Middle Long Meadow),Picnic House,,Brooklyn
Prospect Park (The Bandshell),Prospect Park West/7th Street/15th Street,,Brooklyn
Prospect Park (West Parade Grounds),Coney Island Avenue/Arglye Road/Parkside Avenue/Caton Avenue,,Brooklyn
Prospect Park (Willink Hill),Lincoln Road/Ocean Avenue/Willink Entrance/East Lake Drive,,Brooklyn
Prospect Park (Willink Hill),Lincoln Road/Ocean Avenue/Willink Entrance/East Lake Drive,,Brooklyn
Prospect Park (Wollman Rink & Flower Garden),Prospect Lake/East Lake Drive/south of Breeze Hill/Parking Lot,,Brooklyn
PS 1 Playground,"46 & 47 streets, 3 Avenue",,Brooklyn
PS 155 Playground,"East 117 to East 118 streets, 1 to 2 avenues",East Harlem,Manhattan
PS 286 Playground,"Avenue Y, between Brown & Haring streets",,Brooklyn
PS 59 Sumner Playground,"Throop, Park, Mytrle avenues",,Brooklyn
Quarry Ballfields,"Quarry Road, East 181 Street, Oak Place & Hughes Avenue",,Bronx
Queens Farm Museum,"Little Neck Parkway, Commonwealth Boulevard, south of Grand Central Parkway",,Queens
Queensbridge Park,"21 Street, Bridge Plaza, Vernon Boulevard, East River",,Queens
Railroad Playground,Ditmas Avenue between East 91 & East 92 streets,,Brooklyn
Rainey Park,"Dawson Street, Beck Street, Kelly Street, Intervale Avenue, Longwood Avenue",,Bronx
Rainey Park,"Vernon Boulevard, 33 Road, 34 Street, East River",,Queens
Randall Playground,"Randall Avenue, Castle Hill Avenue",,Bronx
Rappaport Playground,"52-53 streets, Fort Hamilton Parkway",,Brooklyn
Real Good Park (Lie Playground),"LIE, 99 Street & 62 Avenue",,Queens
Red Hook Park,"Otsego, Bay, Hicks, Lorraine, Court, Halleck streets",,Brooklyn
Red Hook Park,"Columbia and Bay streets, southeast of ""Halleck Street"" Sidewalk and northeast of ""Henry Street"" Sidewalk",,Brooklyn
Red Hook Park (Coffey Park Playground),"King, Richards, & Dwight Streets",,Brooklyn
Red Hook Park (Recreation Center),"Otsego, Bay, Hicks, Lorraine, Court, Halleck streets",,Brooklyn
Reiff Playground,"Fresh Pond Road, 63 Street, 59 Drive",,Queens
Renaissance Playground,"West 144 Street, between 7 & 8 avenues",Harlem,Manhattan
Rev. Polite Playground,"Rev. James Polite Avenue, Intervale Avenue, East 167 Street",,Bronx
Richman (Echo) Park Playground,"East 178 Street & Ryer Avenue, Upper Level",,Bronx
Rienzi Playground,"East 226 Street, Barnes Avenue, East 225 Street",,Bronx
Riverbend Playground,"Bailey Avenue, West Kingsbridge Road",,Bronx
Riverside Park (Boat Basin),"Riverside Drive to Hudson River, West 59th Street to Clair Place",Midtown West,Manhattan
Riverside Park (Cafe),"105th Street, next to Henry Hudson Parkway",Upper West Side,Manhattan
Riverside Park (Claremont),West 124 Street & Riverside Drive,Morningside Heights,Manhattan
Riverside Park (Classic Playground),72nd to 79th streets between Hudson River and Henry Hudson Parkway,Upper West Side,Manhattan
Riverside Park (Dinosaur Playground),West 97 Street & Riverside Drive,Upper West Side,Manhattan
Riverside Park (Hippo Playground),West 91 Street & Riverside Drive,Upper West Side,Manhattan
Riverside Park (Neufeld Playground),West 76 Street & Riverside Drive,Upper West Side,Manhattan
Riverside Park (River Run Playground),West 83 Street & Riverside Drive,Upper West Side,Manhattan
Riverside Park (Riverbank Playground),West 142 Street & Riverside Drive,Upper West Side,Manhattan
Riverside Park (Ten Mile River Playground),West 148 Street & Hudson River,Upper West Side,Manhattan
Riverside Park (Tennis Courts),Riverside Drive & West 96th Street,Upper West Side,Manhattan
Robert Moses Playground,"1 Avenue, East 41 to East 42 streets",Midtown East,Manhattan
Rochdale Park,"Guy Brewer Boulevard, 134 Avenue",,Queens
Rockaway Beach,Between 87th Street and 100th Street,,Queens
Rockaway Beach,Between 100th Street and 110th Street,,Queens
Rockaway Beach & Boardwalk (Beach 59th Street Playground),Boardwalk & Beach 59-60 streets,,Queens
Rockaway Beach (Beach 116Th),Between 110th and 121st streets,,Queens
Rockaway Beach 106 Comfort Station,Beach 106 Street,,Queens
Rockaway Beach 117th L/G,Beach 117 Street,,Queens
Rockaway Beach 86 Comfort Station,Beach 86 Street,,Queens
Rockaway Beach 97 Comfort Station,Beach 97 Street,,Queens
Rodney Playground South,"Rodney, South 3 & South 4 streets",,Brooklyn
Roebling Playground,"Wilson & Lee avenues, Taylor Street",,Brooklyn
Roger Morris Park (Morris Jumel Mansion),"Jumel Terrace to Edgecombe Avenue, West 160 to West 162 streets",Harlem,Manhattan
Rolf Henry Playground,New York & Clarkson avenues,,Brooklyn
Rose Hill Park,"Webster Avenue, Harlem River, East Fordham Road",,Bronx
Rosemary's Playground (JHS 93),"Woodward Avenue, Woodbine Street, Fairview Avenue",,Queens
Roy Wilkins Recreation Center,Northwest of fence running from 118th Road to hospital,,Queens
Roy Wilkins Recreation Center,Southeast of fence running from 118th Road to hospital,,Queens
Rudd Playground,Aberdeen Street & Bushwick Avenue,,Brooklyn
Rufus King Park,"Jamaica Avenue, 153 Street, 89 Avenue, 150 Street",,Queens
Russell Pederson Playground,"Colonial Road, 83 to 85 streets",,Brooklyn
Russell Sage Playground (JHS 190),"68 Avenue, Booth to Austin streets",,Queens
Sara D. Roosevelt Park,East Houston Street to Canal Street,Lower East Side,Manhattan
Saratoga Square Park,"Howard Avenue, Halsey, Macon streets",,Brooklyn
Schmul Park,"Wild Avenue, Pearson Street",,Staten Island
Seaside Playground (PS 225),"Rockaway Beach Boulevard, B109-B110 streets",,Queens
Seth Low Playground,"Avenue P, Bay Parkway, West 12 Street",,Brooklyn
Seton Park,"West 135 Street, Independence Avenue, West 232 Street",,Bronx
Seton Park Playground,West 235 Street & Douglas Avenue,,Bronx
Sheltering Arms Park,"West 129 Street, Amsterdam Avenue",Morningside Heights,Manhattan
Sheltering Arms Park (Pool),"West 129 Street, Amsterdam Avenue",Morningside Heights,Manhattan
Shore Road Park,Owl's Head Park to Fort Hamilton Parkway Narrows Avenue,,Brooklyn
Shore Road Park,72nd Street to Harbor View,,Brooklyn
Shore Road Park,"92nd Street to 4 Avenue - lower half, by expressway",,Brooklyn
Shore Road Park,"92nd Street to 4 Avenue - upper half, by road",,Brooklyn
Silver Lake Park,"Victory Boulevard, Clove Road, Forest Avenue",,Staten Island
Slattery Playground,"East 183 Street, Ryer Avenue, Valentine Avenue",,Bronx
Slope Park,6 Avenue Bet 18 & 19 Sts,,Brooklyn
Smokey Oval,125 Street & Atlantic Avenue,,Queens
Sol Bloom Playground,"Columbus Avenue, West 91 to West 92 streets, Central Park West",Upper West Side,Manhattan
Sol Lain Playground,"Broadway, Henry Street, Samuel Dickstein Place",Lower East Side,Manhattan
Soundview Park Playground,Metcalf Avenue between Seward and Randall avenues,,Bronx
South Beach,"Natural Area and Boardwalk from Sands Lane to Vulcan Street, East of Father Capodanno Boulevard",,Staten Island
South Beach (Saturn Playground),"Natural Area and Boardwalk from Sands Lane to Vulcan Street, East of Father Capodanno Boulevard",,Staten Island
South Beach Wetlands,Quintard St Bet. Quincy Ave & Father Capodanno Blvd,,Staten Island
Space Time Playground,"Streetory Avenue, Bolton Avenue, Lafayette Avenue, Underhill Avenue",,Bronx
Sperandeo Brothers Playground,Atlantic Avenue & Elton Street,,Brooklyn
Springfield Park,"149 Avenue, Springfield Boulevard, 145 Road, 148 Street",,Queens
St Nicholas Park South,West 129 & 7 Avenue,Harlem,Manhattan
St. Albans Park (174 Street Playground),174 Street & 113 Avenue,,Queens
St. Andrew's Playground,Atlantic Avenue & Herkimer Street,,Brooklyn
St. Catherine's Park,"East 67-68 streets, 1 Avenue",Upper East Side,Manhattan
St. Mary's Park (Recreation Center),450 St. Ann's Avenue,,Bronx
St. Mary's Park West,St. Anns Avenue & East 147 Street,,Bronx
St. Mary's Playground East Playground,Jackson Avenue between East 144 and 145 streets,,Bronx
St. Nicholas Park,West 133 Street & St. Nicholas Avenue,Harlem,Manhattan
St. Nicholas Park,West 129 Street & St. Nicholas Terrace,Harlem,Manhattan
St. Nicholas Park (Arlington Edinboro Playground),West 140 Street & St. Nicholas Avenue,Harlem,Manhattan
St. Vartan Park,"East 35-East 36 streets, between 1 & 2 avenues",Murray Hill,Manhattan
Stanley Isaacs,East 96-97 streets & FDR Drive,Upper East Side,Manhattan
Stapleton Playground,Tompkins Avenue & Broad Street,,Staten Island
Star Spangled Banner Playground,Franklin & Willoughby avenues,,Brooklyn
Stars & Stripes Playground,"Baychester Avenue, Crawford Avenue",,Bronx
Sternberg Park,"Montrose Avenue, Boerum, Lorimer, Leonard streets",,Brooklyn
Stockton Playground,Marcy & Park avenues,,Brooklyn
Stroud Playground,Classon Avenue & Sterling Place,,Brooklyn
Sunset Park,"41 to 44 streets, 5 to 7 avenues",,Brooklyn
Sunset Park (Recreation Center),"41 to 44 streets, 5 to 7 avenues",,Brooklyn
Surf Playground,West 27 Street & Surf Avenue,,Brooklyn
Tall Oak Playground,"64 Avenue, 218 & 219 streets",,Queens
Taylor Playground,"Guerlain Street, Thieriot Avenue, Taylor Avenue",,Bronx
Tecumseh Playground,West 77 Street & Amsterdam Avenue,Upper West Side,Manhattan
Terrace Playground,Howard Avenue & Martha Street,,Staten Island
The Pearly Gates,"Tratman Avenue, Street Peter's Avenue",,Bronx
Thomas Jefferson Park,"1 Avenue to FDR Drive, East 111 to East 114 streets",East Harlem,Manhattan
Tiffany Playground,"Tiffany Street, Fox Street, East 167 Street",,Bronx
Tiger Playground,Evergreen Avenue & Eldert Street,,Brooklyn
Tilden Playground,"Tilden Avenue, East 48 to East 49 streets",,Brooklyn
Todt Hill Playground,Schmidts Lane & Manor Road,,Staten Island
Tompkins Square Park,"Avenues A to B, East 7 to East 10 streets",East Village,Manhattan
Tremont Park Playground,Corner of East 175 Street & Arthur Avenue,,Bronx
Triborough Bridge Playground A,"Hoyt Avenue, 19 to 21 streets",,Queens
Triborough Bridge Playground B,"Hoyt Avenue, 21 to 23 streets",,Queens
Underhill Playground,Underhill Avenue & Prospect Place,,Brooklyn
Underwood Park,Lafayette & Waverly avenues,,Brooklyn
Union Playground (PS 214),Union Street & 31 Road,,Queens
Union Square Park,"Broadway to 4 Avenue, East 14 Street to East 17 streets",Gramercy,Manhattan
Van Cortlandt Park (Allen Shandler Recreation Area),"Broadway, Jerome Avenue, City Line, Van Cortlandt Park South",,Bronx
Van Cortlandt Park (Classic Playground),Van Cortlandt Park South and Gouverneur Avenue,,Bronx
Van Cortlandt Park (Indian Field),"Broadway, Jerome Avenue, City Line, Van Cortlandt Park South",,Bronx
Van Cortlandt Park (Nature Center),West 239 Street & Van Cortlandt East,,Bronx
Van Cortlandt Park (Pool Building),West 242nd Street & Broadway,,Bronx
Van Cortlandt Park (Stables Area),Broadway and West 254th Street,,Bronx
Van Cortlandt Park (Stadium),"Broadway, Jerome Avenue, City Line, Van Cortlandt Park South",,Bronx
Van Cortlandt Park (UC Pool Headquarters),"Broadway, Jerome Avenue, City Line, Van Cortlandt Park South",,Bronx
Van Cortlandt Park (UC Pool Men's Locker),West 242nd Street & Broadway,,Bronx
Van Cortlandt Park (Woodlawn Playground),West 239 Street & Van Cortlandt East,,Bronx
Van Voorhees Lower Park,"Congress, Columbia, West/South BQE",,Brooklyn
Vesuvio Playground,Spring & Thompson streets,Soho,Manhattan
Vidalia Park,Vyse & Daly avenues between West 179-180 streets,,Bronx
Vinmont Veteran Playground,"Mosholu Avenue, West 254 Street, Riverdale Avenue, West 256 Street",,Bronx
Virginia Playground,"Virginia Avenue, McGraw Avenue, Cross Bronx Expressway, White Plains Road",,Bronx
Vleigh Place Playground,Vleigh Place & 141 Street,,Queens
Vleigh Playground (PS 165),70 Road to 71 Avenue,,Queens
Wagner Pool,East 124 Street between 1 & 2 Avenues,East Harlem,Manhattan
Wakefield Playground,"Matilda Avenue, East 239 Street, Carpenter Avenue",,Bronx
Washington Hall Playground,"Park, Washington avenues to Hall Street",,Brooklyn
Washington Square Park Western Half,"5 Avenue, Waverly Place, West 4 & MacDougal streets.",Greenwich Village,Manhattan
Watson Gleason Playground,"Gleason Avenue, Rosedale Avenue, Watson Avenue, Nobel Avenue",,Bronx
Wayanda Park,Robard Lane & 217 Street,,Queens
Webster Playground,E. 188 St. Bet. Webster Ave. And Park Ave.,,Bronx
Weeping Beech Park,37 Avenue & Bowne Street,,Queens
West 2nd Street Comfort Station,W. 2nd Street,,Brooklyn
West 59th Street Recreation Center & Pool,"West 59 to West 60 streets, Amsterdam to West End avenues",Upper West Side,Manhattan
West 8nd Street CS,W 8 St.,,Brooklyn
Whitestone Playground (PS 193),12 Avenue & 153 Street,,Queens
William E. Kelly Memorial Park,"Avenue S, East 14 & East 15 streets",,Brooklyn
William Sheridan Playground,"Wythe Avenue, Berry & Grand streets",,Brooklyn
Williamsbridge Oval,"Reservoir Oval East, Reservoir Oval West, Reservoir Place, Putnam Place, Bainbridge Avenue, Wayne Avenue, Tryon Avenue, Holt Place, Van Cortlandt Avenue",,Bronx
Willis Playground,"East 139 Street, East 140 Street, Willis & Alexander avenues",,Bronx
Willoughby Playground,Tompkins & Willoughby avenues,,Brooklyn
Willow Lake Playground (PS 196),Grand Central Parkway between 71 & 72 avenues,,Queens
Willowbrook Park,Richmond Avenue To Victory Boulevard,,Staten Island
Wingate Park,Brooklyn Avenue & Rutland Road,,Brooklyn
Woods Playground,Bergen Street & Utica Avenue,,Brooklyn
Woodtree Playground,"20 Avenue, 37 Street, 38 Street",,Queens
Yak Playground,Avenue Y between Coyle & Batchelder streets,,Brooklyn
Zimmerman Playground,"Britton Street, Barker Avenue, Olinville Avenue",,Bronx
